,Day,10 %,25 %,50 %,75 %,90 %
0,0,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
1,1,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
2,2,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
3,3,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
4,4,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
5,5,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
6,6,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
7,7,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
8,8,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
9,9,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
10,10,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
11,11,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
12,12,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
13,13,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
14,14,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
15,15,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
16,16,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
17,17,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
18,18,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
19,19,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
20,20,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
21,21,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
22,22,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
23,23,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
24,24,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
25,25,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
26,26,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
27,27,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
28,28,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
29,29,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
30,30,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
31,31,1275116.0,1275116.0,1275116.0,1275116.0,1275116.0
