time,label,true_time,true_label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12
0,0,0,1,-0.4405,-0.035066,-0.025341,-0.029775,-0.55787,-0.15355,0.56819,-0.15432,-0.25023,0.33915,0.70388,0.28174
1,0,1,1,0.015579,-0.84608,0.48753,0.65193,0.20099,-0.11238,-1.3963,-0.18874,-0.30001,-0.24032,-0.38533,-1.0245
34,2,34,2,0.44649,1.641,-1.745,0.31795,-1.1406,0.3656,0.2811,-0.58253,-1.6907,1.2022,-0.5192,1.784
9,0,9,2,0.62946,-0.61575,-0.32345,-0.9002,0.4536,-0.61992,2.1624,0.19875,-1.1196,-2.7321,-0.25673,-0.81836
2,0,10,2,1.2498,-0.18561,-0.18378,-0.98108,-0.01499,-0.14437,-1.2529,-0.58432,-0.090523,0.93692,1.0749,0.79117
11,2,11,2,0.48701,0.52086,1.9937,-0.94736,0.24371,1.0655,0.57686,0.019192,0.23212,0.48023,-0.73096,1.4396
37,0,40,2,-1.1837,-0.31602,-0.5864,-0.5389,-1.1583,1.0401,0.61938,-0.41542,-0.507,-2.183,0.9732,0.97753
5,1,5,1,-0.93219,-2.2909,1.1676,-0.17555,1.8769,-0.41713,1.6516,0.17793,0.90938,2.0154,1.2013,-1.1441
24,0,106,1,0.68036,0.2291,1.0641,0.32424,1.8967,-1.0096,-0.36388,-0.49881,0.56839,-0.36474,-0.50265,-0.37582
0,0,0,2,0.14692,1.7201,-1.4008,1.0129,0.81481,0.92919,-0.82583,0.31528,-1.2339,0.085578,0.72093,-0.12779
3,0,9,1,-1.9905,-0.37479,0.22568,-1.2191,-1.6493,-0.39259,-0.26216,1.1322,0.22606,-0.32663,-1.1014,1.1955
2,0,3,2,0.27724,0.064368,0.72157,-0.7062,0.55812,-0.093491,-1.1416,1.8073,-0.68376,1.1548,-0.058043,-0.30221
129,1,129,1,0.27771,-0.43152,-0.73203,-0.9664,-0.84664,-1.1266,-0.12219,-0.018314,-1.4146,0.75809,1.0861,0.63282
0,0,1,2,-1.0176,-1.0208,-0.37791,-1.1157,-0.0086551,0.81502,0.49151,1.5452,-1.4139,-1.1208,-2.4018,0.58103
0,0,1,1,0.14726,1.2454,-0.27786,0.57753,0.0028554,-0.10155,0.14393,0.14085,0.68348,1.1838,2.2807,-1.5109
16,0,36,2,-0.87704,-0.6046,0.15214,-0.79781,-1.8968,-0.025492,-0.085051,0.80989,1.2751,0.25088,0.50428,0.88793
8,0,8,1,-0.85435,-0.26997,-0.18014,-0.80534,-0.38111,-2.1423,-0.16647,0.18713,0.13922,-1.1159,0.63305,0.27453
0,0,2,1,-1.0561,-1.3887,-0.10704,-0.55151,-0.86478,0.04301,-0.46833,1.3767,0.27545,-1.0473,2.2718,0.44081
21,0,21,2,0.13485,-0.62051,-0.97397,1.4913,0.37178,0.38864,0.084842,-1.1455,-2.11,-0.76637,-0.13622,0.19257
1,0,2,1,0.38918,0.10392,0.23311,0.49492,-0.77547,0.98973,-0.82759,1.0298,-0.16495,-0.47475,-1.4417,1.1722
9,0,28,2,-2.2275,0.6063,-1.0199,0.30839,1.7188,0.28699,-0.26867,2.2103,-0.99696,1.4,-2.3965,1.3045
4,0,6,2,-1.117,-0.16093,1.1857,0.29936,1.0661,-1.106,1.4131,0.37728,0.97804,0.15055,-0.32514,-0.45335
8,0,13,1,0.46416,0.22988,0.75172,-0.38035,-2.8005,-1.4066,-0.85878,2.888,0.20748,0.28178,0.86551,0.86006
2,1,2,1,-0.23215,1.7621,-0.96835,0.38781,-0.29317,-0.99413,-0.65255,0.17954,0.054615,1.3894,1.3027,0.1833
4,0,4,1,1.012,-0.86495,-0.040264,-0.89877,-1.6655,-0.51626,0.2453,-0.55524,-2.2541,0.089995,-1.2301,-0.39861
33,2,33,2,0.70271,-0.46398,-1.8638,0.37861,1.4553,0.067966,-0.378,0.68667,0.62477,0.061032,-0.43149,0.55663
5,0,5,2,-1.3265,0.94335,-0.049386,-0.46975,-0.83134,2.5924,-2.3512,0.86806,-0.89923,0.66612,-0.25571,0.63408
